EmployeeID,Age,Gender,Department,JobRole,Salary,Education,ExperienceYears,Attrition,OverTime,MaritalStatus
149,54,Male,R&D,Developer,87759,PhD,9,No,Yes,Single
150,45,Female,R&D,Sales Executive,120873,PhD,3,No,No,Divorced
151,36,Female,Tech,Research Scientist,62732,Diploma,11,Yes,Yes,Married
152,53,Female,R&D,Developer,99304,Masters,33,No,No,Married
153,53,Female,Finance,Developer,139206,Diploma,3,No,No,Single
154,45,Female,Finance,Developer,37507,Bachelors,19,No,No,Married
155,33,Female,Tech,Sales Executive,149010,Diploma,27,Yes,No,Divorced
156,23,Male,Sales,Sales Executive,101785,Masters,27,No,Yes,Divorced
157,24,Male,HR,Sales Executive,146691,Bachelors,5,No,Yes,Married
158,58,Female,Sales,Analyst,146354,Bachelors,13,No,No,Single
159,38,Male,Sales,Sales Executive,55391,High School,34,Yes,No,Divorced
160,23,Female,Sales,Sales Executive,54171,PhD,0,No,Yes,Single
161,23,Male,Sales,Sales Executive,71730,Bachelors,18,No,Yes,Divorced
162,49,Female,Admin,Research Scientist,135019,Bachelors,0,No,No,Single
163,44,Male,HR,Sales Executive,27485,Masters,12,No,Yes,Single
164,58,Female,Admin,Analyst,147628,Bachelors,7,No,No,Divorced
165,53,Male,R&D,Developer,130104,Masters,17,Yes,No,Divorced
166,54,Female,Sales,Research Scientist,135427,PhD,34,No,No,Single
167,22,Male,Finance,Manager,115320,High School,22,No,Yes,Divorced
168,40,Female,Tech,Sales Executive,148603,High School,25,No,Yes,Married
169,23,Female,Tech,Developer,131102,PhD,19,Yes,No,Divorced
170,47,Female,Admin,Developer,110153,PhD,1,No,No,Single
171,53,Male,Admin,Research Scientist,57748,Diploma,25,Yes,No,Divorced
172,27,Male,Finance,Manager,23878,Bachelors,24,No,No,Divorced
173,53,Male,Sales,HR Executive,21949,Bachelors,29,Yes,Yes,Single
174,25,Female,HR,Analyst,105380,Bachelors,17,No,No,Divorced
175,32,Male,R&D,HR Executive,136816,Masters,6,Yes,No,Single
176,38,Female,Tech,Developer,40881,Diploma,26,No,Yes,Single
177,59,Male,R&D,HR Executive,71306,Bachelors,10,No,No,Single
178,45,Male,HR,Developer,107150,Masters,7,No,No,Single
179,26,Male,Admin,HR Executive,109364,Masters,10,No,No,Married
180,55,Male,Tech,Developer,135925,High School,23,No,No,Married
181,27,Female,R&D,Developer,29958,Masters,29,No,No,Single
182,43,Male,Admin,Research Scientist,79185,PhD,29,Yes,No,Divorced
183,32,Male,HR,Manager,28697,Masters,14,No,No,Married
184,37,Female,R&D,Developer,107160,PhD,34,No,No,Single
185,54,Female,Sales,Analyst,35493,PhD,23,No,No,Married
186,30,Male,Admin,Analyst,62801,High School,7,Yes,No,Single
187,27,Male,HR,Sales Executive,41199,High School,19,No,Yes,Married
188,37,Female,R&D,Developer,127890,Masters,25,No,No,Single
189,50,Female,Sales,Developer,85792,High School,23,No,Yes,Married
190,24,Female,Sales,Developer,54488,High School,21,No,No,Married
191,41,Male,HR,HR Executive,50493,Bachelors,4,No,Yes,Divorced
192,57,Male,Finance,Developer,131545,Masters,14,No,No,Married
193,40,Male,Tech,Developer,69002,Masters,28,Yes,No,Divorced
194,47,Female,HR,Analyst,43731,Masters,14,No,No,Married
195,24,Female,Sales,Manager,27076,High School,26,No,No,Single
196,40,Female,Sales,Manager,21071,High School,7,No,No,Divorced
197,41,Male,HR,Sales Executive,119926,PhD,28,Yes,Yes,Married
198,53,Female,Finance,Analyst,147872,Diploma,18,Yes,Yes,Divorced
199,28,Male,Tech,Developer,87602,Diploma,30,No,Yes,Single
200,54,Female,R&D,Manager,111181,Diploma,8,No,No,Single
201,39,Male,HR,Research Scientist,61410,Bachelors,9,No,No,Single
202,22,Male,Tech,Research Scientist,119201,High School,9,No,No,Single
203,32,Female,Tech,Research Scientist,74327,PhD,32,No,No,Single
204,49,Male,Admin,Developer,114948,PhD,24,No,No,Divorced
205,46,Female,Sales,Developer,81072,Diploma,3,No,No,Divorced
206,44,Male,R&D,Sales Executive,117371,Bachelors,4,No,No,Married
207,52,Female,HR,Sales Executive,61041,Bachelors,22,No,No,Married
208,51,Female,Sales,Sales Executive,143616,Diploma,4,No,No,Single
209,56,Male,Admin,HR Executive,73326,Diploma,7,No,Yes,Single
210,28,Female,Admin,Research Scientist,58549,High School,16,No,Yes,Divorced
211,37,Male,Sales,Developer,73096,Bachelors,0,Yes,Yes,Single
212,47,Female,Finance,Research Scientist,75578,PhD,11,No,No,Single
213,23,Female,Tech,Sales Executive,66390,Diploma,34,Yes,No,Single
214,22,Female,HR,Developer,66052,High School,13,Yes,No,Married
215,33,Female,HR,Analyst,63167,PhD,17,No,No,Divorced
216,26,Male,HR,Manager,74587,Bachelors,9,No,No,Married
217,58,Female,Sales,Manager,81292,Diploma,14,No,No,Single
218,53,Female,Finance,Sales Executive,112114,Diploma,32,No,No,Single
219,30,Male,R&D,Research Scientist,95419,High School,18,No,Yes,Married
220,56,Male,Admin,Analyst,62139,High School,33,No,No,Married
221,40,Male,Sales,Developer,137623,Bachelors,24,No,No,Divorced
222,37,Male,R&D,Research Scientist,107753,Diploma,15,No,Yes,Single
223,24,Male,Admin,Sales Executive,30707,High School,7,No,No,Single
224,41,Male,Admin,Research Scientist,126392,Diploma,34,No,Yes,Married
225,45,Female,Finance,Sales Executive,33140,Bachelors,20,No,No,Divorced
226,54,Male,Tech,HR Executive,135149,Diploma,18,No,No,Divorced
227,45,Female,HR,Manager,31093,PhD,10,No,No,Single
228,32,Male,R&D,Manager,102036,Diploma,10,No,No,Single
229,29,Female,Sales,Research Scientist,124089,Masters,10,Yes,No,Married
230,57,Female,R&D,Analyst,92043,Masters,21,No,No,Single
231,59,Female,Tech,Developer,118122,Bachelors,20,No,No,Married
232,41,Male,HR,Sales Executive,144534,Bachelors,26,No,No,Single
233,56,Male,R&D,Developer,25830,Bachelors,17,No,No,Single
234,46,Male,Tech,Manager,50608,PhD,29,No,No,Single
235,56,Male,Sales,Analyst,122865,PhD,32,No,No,Divorced
236,46,Female,Finance,Analyst,144678,Diploma,20,No,No,Single
237,50,Male,Admin,Developer,67287,High School,1,No,Yes,Single
238,39,Female,Sales,Manager,110047,Masters,12,No,No,Divorced
239,39,Female,HR,Developer,53427,Masters,1,No,No,Divorced
240,23,Male,Admin,Research Scientist,146117,Masters,30,No,No,Single
241,56,Male,Sales,Analyst,104042,Diploma,9,No,No,Divorced
242,37,Male,Sales,Analyst,48395,Diploma,22,No,Yes,Divorced
243,57,Female,Sales,Research Scientist,149849,Bachelors,21,No,Yes,Divorced
244,54,Male,Sales,Manager,129839,High School,28,No,No,Divorced
245,25,Female,Admin,Analyst,132306,Bachelors,32,No,No,Married
246,54,Male,HR,HR Executive,112662,Diploma,30,No,No,Single
247,35,Female,Tech,HR Executive,115002,PhD,13,No,Yes,Married
248,42,Male,R&D,HR Executive,37970,Bachelors,9,No,No,Single
249,41,Male,Finance,Sales Executive,90218,Diploma,17,No,Yes,Divorced
250,29,Female,R&D,Sales Executive,141487,Diploma,10,Yes,No,Married
251,28,Male,R&D,Manager,134006,PhD,2,No,Yes,Divorced
252,24,Male,Finance,Research Scientist,96475,PhD,1,No,No,Divorced
253,38,Male,Admin,Developer,94362,PhD,7,No,No,Divorced
254,54,Male,HR,Manager,43371,High School,30,No,No,Single
255,33,Male,Finance,Developer,115482,Diploma,7,No,No,Divorced
256,43,Male,HR,Manager,109895,PhD,1,No,Yes,Single
257,43,Male,Admin,Sales Executive,39266,High School,21,No,No,Single
258,51,Female,R&D,HR Executive,123553,Masters,4,No,No,Divorced
259,59,Female,HR,Research Scientist,39195,Masters,6,No,Yes,Single
260,59,Male,Admin,Sales Executive,130949,Masters,19,No,No,Married
261,29,Male,Admin,Research Scientist,146895,Diploma,27,Yes,No,Single
262,48,Male,Tech,Developer,47315,High School,12,No,Yes,Divorced
263,48,Female,Finance,Manager,140215,High School,1,No,Yes,Divorced
264,55,Female,Tech,Analyst,103804,Masters,31,No,Yes,Married
265,42,Male,R&D,Analyst,95246,Bachelors,25,No,No,Married
266,51,Female,Finance,Research Scientist,61581,Masters,2,No,No,Single
267,54,Male,R&D,HR Executive,65537,Diploma,12,Yes,Yes,Single
268,49,Male,Tech,HR Executive,147955,Masters,20,No,No,Married
269,54,Male,Admin,Research Scientist,99697,Masters,22,No,No,Divorced
270,26,Male,R&D,Sales Executive,117357,High School,6,Yes,No,Divorced
271,40,Female,Finance,Analyst,139761,Masters,16,No,No,Married
272,25,Female,Finance,Sales Executive,95265,PhD,27,No,Yes,Married
273,56,Male,R&D,Developer,133984,PhD,29,No,No,Divorced
274,38,Female,Finance,Analyst,134451,Bachelors,4,No,No,Divorced
275,49,Female,Admin,Developer,112449,Diploma,23,Yes,Yes,Single
276,51,Male,Admin,Manager,140104,Diploma,6,No,Yes,Married
277,50,Female,Finance,Sales Executive,42184,High School,33,No,No,Married
278,27,Male,R&D,Research Scientist,43279,Diploma,32,No,No,Married
279,56,Male,Tech,Analyst,46570,Bachelors,26,No,No,Divorced
280,58,Male,Finance,Sales Executive,63030,PhD,13,No,No,Single
281,45,Male,Finance,Research Scientist,82245,High School,18,No,No,Divorced
282,50,Female,Finance,Manager,75467,PhD,11,No,No,Married
283,52,Male,Finance,Analyst,139618,Bachelors,2,No,Yes,Married
284,56,Female,R&D,Developer,55133,High School,6,Yes,Yes,Married
285,54,Male,Tech,Manager,98731,Masters,34,No,No,Married
286,42,Male,Tech,HR Executive,63805,Diploma,24,No,No,Married
287,53,Female,HR,Research Scientist,63998,Bachelors,14,Yes,Yes,Divorced
288,44,Male,Finance,Analyst,37238,High School,18,Yes,Yes,Single
289,54,Female,Finance,Analyst,101088,PhD,18,No,Yes,Married
290,24,Female,HR,Manager,88264,High School,22,No,No,Married
291,39,Male,Tech,Analyst,135603,Masters,10,No,No,Married
292,46,Male,Sales,Research Scientist,68245,Bachelors,20,No,Yes,Divorced
293,52,Male,Admin,Manager,43557,High School,33,No,Yes,Divorced
294,24,Male,Sales,Developer,90474,Bachelors,6,No,Yes,Married
295,45,Male,Tech,Manager,116738,Bachelors,26,No,Yes,Married
296,53,Male,Finance,Manager,85667,PhD,22,No,No,Married
297,43,Female,Sales,Developer,111228,Diploma,19,Yes,Yes,Married
298,44,Female,R&D,HR Executive,105513,Masters,26,No,No,Married
299,23,Male,R&D,Research Scientist,85074,High School,7,No,No,Divorced
300,48,Female,HR,HR Executive,78204,Diploma,2,Yes,No,Married
301,23,Female,Tech,HR Executive,118597,PhD,1,No,Yes,Married
302,47,Male,Tech,HR Executive,112800,Diploma,21,No,Yes,Married
303,38,Male,Sales,Sales Executive,45575,Bachelors,5,No,Yes,Divorced
304,54,Female,Finance,HR Executive,100263,Bachelors,23,No,No,Married
305,30,Male,Tech,Sales Executive,96024,Masters,11,No,No,Divorced
306,50,Female,Sales,Developer,40069,High School,16,No,Yes,Single
307,47,Male,Sales,Research Scientist,44400,High School,21,No,No,Divorced
308,56,Female,Admin,HR Executive,44146,PhD,18,No,Yes,Married
309,46,Female,Admin,Analyst,26846,Masters,8,No,Yes,Divorced
310,45,Female,Tech,Developer,60352,High School,11,No,No,Married
311,34,Female,Sales,Sales Executive,43694,Bachelors,31,No,Yes,Divorced
312,28,Male,HR,Research Scientist,41740,Masters,30,Yes,No,Divorced
313,57,Male,HR,Manager,69438,Diploma,16,No,No,Single
314,41,Female,Admin,Research Scientist,50996,Masters,22,Yes,No,Divorced
315,22,Female,Tech,Research Scientist,83874,Masters,9,No,No,Single
316,29,Male,Finance,HR Executive,117661,High School,29,No,No,Single
317,37,Male,HR,HR Executive,126945,PhD,18,Yes,No,Divorced
318,35,Female,HR,Sales Executive,79682,PhD,25,No,No,Divorced
319,33,Female,Admin,Sales Executive,64200,High School,25,Yes,Yes,Divorced
320,44,Female,Admin,HR Executive,42970,High School,10,No,No,Single
321,36,Female,Tech,HR Executive,30895,High School,19,No,No,Married
322,49,Female,Admin,Analyst,58071,PhD,3,Yes,No,Married
323,55,Male,R&D,Analyst,72268,High School,11,No,No,Single
324,23,Female,Sales,Developer,42258,Diploma,24,No,Yes,Single
325,53,Male,HR,HR Executive,108890,Diploma,9,Yes,Yes,Divorced
326,44,Male,R&D,Manager,116177,Bachelors,21,No,Yes,Divorced
327,43,Male,Finance,Analyst,77300,Diploma,6,Yes,No,Married
328,46,Female,R&D,Sales Executive,81915,Masters,23,No,No,Married
329,43,Male,Tech,Research Scientist,28444,Bachelors,1,No,No,Married
330,43,Male,Finance,Developer,95147,Diploma,31,No,No,Divorced
331,27,Male,Finance,Analyst,96064,Masters,20,No,No,Divorced
332,36,Male,Admin,Research Scientist,135923,Diploma,6,Yes,No,Single
333,58,Female,R&D,Research Scientist,86535,Masters,7,No,No,Divorced
334,54,Female,Tech,Analyst,23760,High School,20,Yes,Yes,Married
335,29,Male,HR,Manager,56884,Masters,7,No,No,Single
336,26,Male,Admin,Manager,122715,High School,24,No,Yes,Divorced
337,25,Female,R&D,Developer,145491,Masters,27,No,Yes,Married
338,27,Female,HR,Manager,107477,Masters,27,Yes,No,Divorced
339,53,Female,R&D,Developer,46022,Diploma,30,Yes,No,Single
340,51,Male,Admin,Sales Executive,74504,Masters,24,No,No,Divorced
341,56,Female,HR,Analyst,63130,Diploma,11,No,No,Married
342,37,Male,Admin,Research Scientist,63881,Masters,30,Yes,No,Single
343,34,Male,R&D,Developer,82399,PhD,17,Yes,Yes,Married
344,51,Female,Finance,Manager,56451,Bachelors,25,No,No,Single
345,40,Male,Sales,Developer,71413,Diploma,5,No,No,Divorced
346,38,Female,Finance,HR Executive,112057,Diploma,8,No,Yes,Divorced
347,40,Male,Admin,Developer,82278,High School,10,No,No,Married
348,49,Female,Admin,Manager,133286,PhD,30,No,Yes,Divorced
349,47,Male,Admin,HR Executive,49639,High School,1,No,Yes,Single
350,58,Male,HR,HR Executive,54621,PhD,28,No,Yes,Divorced
351,47,Female,Tech,Manager,116985,PhD,4,Yes,Yes,Divorced
352,44,Female,Admin,HR Executive,143479,Masters,22,Yes,No,Divorced
353,30,Female,Finance,Analyst,33079,High School,6,Yes,No,Divorced
354,33,Female,Sales,Research Scientist,147015,Bachelors,12,No,No,Divorced
355,22,Male,Admin,Analyst,26895,PhD,9,No,No,Divorced
356,22,Female,Admin,Analyst,113515,PhD,15,No,No,Divorced
357,55,Female,Admin,Manager,72142,Diploma,14,No,Yes,Divorced
358,53,Male,HR,Manager,131239,Masters,18,No,No,Married
359,46,Female,Admin,Research Scientist,147157,Bachelors,20,No,Yes,Married
360,22,Female,Finance,Developer,32552,PhD,34,No,No,Divorced
361,37,Male,R&D,Analyst,112930,Diploma,14,No,No,Married
362,26,Female,Tech,HR Executive,68821,High School,13,Yes,No,Divorced
363,43,Female,Admin,Research Scientist,117812,PhD,28,No,No,Divorced
364,50,Female,HR,Analyst,53630,Diploma,4,Yes,No,Divorced
365,24,Female,Finance,Developer,90063,High School,17,No,Yes,Married
366,33,Female,Admin,HR Executive,32247,Masters,0,No,Yes,Single
367,47,Female,HR,Analyst,37603,High School,26,No,No,Divorced
368,37,Male,R&D,Sales Executive,122099,PhD,26,No,No,Divorced
369,58,Female,Sales,Research Scientist,65564,Bachelors,24,No,No,Single
370,43,Male,Admin,Manager,131038,High School,20,No,No,Married
371,50,Male,Finance,Analyst,20527,Bachelors,13,No,No,Single
372,35,Male,HR,HR Executive,76521,Bachelors,19,No,No,Divorced
373,49,Male,HR,HR Executive,88458,High School,27,No,No,Single
374,26,Female,Admin,Research Scientist,25849,Masters,20,No,Yes,Divorced
375,51,Female,HR,Research Scientist,115836,High School,22,No,No,Married
376,26,Female,Sales,HR Executive,113316,Diploma,10,No,No,Married
377,33,Male,HR,HR Executive,70314,Bachelors,1,No,No,Married
378,37,Female,Tech,HR Executive,65724,PhD,19,Yes,Yes,Divorced
379,47,Female,Tech,Analyst,113676,Bachelors,23,Yes,No,Married
380,47,Female,HR,HR Executive,37230,PhD,24,Yes,No,Single
381,42,Male,Admin,Manager,112229,Diploma,21,Yes,No,Married
382,57,Male,Tech,HR Executive,92495,Diploma,23,No,No,Divorced
383,54,Female,Finance,Manager,121390,Diploma,14,No,No,Single
384,51,Male,Tech,Analyst,62730,High School,11,No,No,Single
385,58,Male,HR,Research Scientist,105203,Bachelors,30,No,Yes,Single
386,44,Female,Admin,Manager,111937,PhD,30,Yes,Yes,Single
387,31,Male,R&D,Analyst,133723,Diploma,29,No,Yes,Divorced
388,26,Male,Admin,HR Executive,23323,Diploma,19,No,No,Married
389,57,Female,Admin,Analyst,20445,PhD,7,No,No,Single
390,55,Male,Admin,HR Executive,102945,Bachelors,29,Yes,Yes,Married
391,52,Male,Finance,Analyst,29963,Bachelors,34,No,No,Married
392,31,Male,Sales,Research Scientist,70511,PhD,20,No,No,Married
393,40,Male,HR,Manager,142898,Masters,27,No,No,Married
394,53,Male,Sales,Research Scientist,140801,Bachelors,16,No,No,Divorced
395,22,Male,R&D,Sales Executive,143440,PhD,11,No,No,Single
396,26,Male,Sales,HR Executive,35437,PhD,17,No,Yes,Single
397,25,Male,HR,Manager,36855,Diploma,27,No,No,Married
398,37,Female,HR,Research Scientist,101947,PhD,2,No,Yes,Single
399,45,Female,R&D,Manager,143439,High School,14,No,No,Married
400,37,Female,HR,Sales Executive,30847,Diploma,15,Yes,Yes,Divorced
401,23,Female,R&D,Developer,23236,Diploma,21,No,Yes,Single
402,49,Male,R&D,HR Executive,81897,Bachelors,30,No,Yes,Married
403,53,Female,HR,HR Executive,143824,Masters,30,No,No,Single
